accuracy,performanceScore,totalTime,averageReactionTime,incorrectAnswers,currentDifficulty,recentAvgAccuracy,recentAvgPerformance,trendScore,gamesOnCurrentLevel,recommendation
0.5,62.9,103.7,2.78,7,5,0.731,66.5,0.071,10,maintain
0.792,80.0,110.0,2.51,3,5,0.938,83.3,0.15,2,maintain
0.311,41.4,104.1,2.88,7,3,0.431,42.8,-0.246,7,downgrade
0.564,74.6,97.3,2.25,6,2,0.84,55.3,0.095,1,maintain
0.458,36.7,154.2,3.66,13,6,0.366,38.5,-0.441,4,downgrade
0.398,25.3,117.4,3.8,6,8,0.227,20.8,-0.267,2,downgrade
0.901,75.6,72.8,2.08,0,2,0.973,79.3,0.294,8,upgrade
0.968,81.2,73.1,2.02,0,4,0.925,81.0,0.147,3,upgrade
0.925,82.7,55.3,1.94,2,3,0.923,93.4,-0.09,8,upgrade
0.873,80.0,77.0,1.85,2,5,0.865,94.5,-0.042,5,upgrade
0.746,63.7,72.6,2.31,4,6,0.834,79.9,-0.074,8,maintain
0.168,40.4,164.7,3.55,13,7,0.096,44.2,-0.263,8,downgrade
0.57,61.4,121.8,2.64,8,6,0.58,68.1,0.018,4,maintain
0.549,45,118.9,2.66,10,2,0.61,47.0,-0.052,2,maintain
0.919,100,52.6,1.77,2,3,0.948,69.3,-0.09,7,upgrade
0.27,45.4,104.3,3.15,13,3,0.558,47.8,-0.024,2,downgrade
0.284,37.4,180,3.66,20,6,0.095,48.4,-0.106,6,downgrade
0.566,55.4,77.8,2.83,7,2,0.686,79.9,-0.143,6,maintain
1.0,72.5,46.5,1.73,0,1,0.941,89.3,0.185,6,upgrade
1.0,85.4,57.4,1.99,1,5,0.929,85.3,0.03,10,upgrade
0.644,79.0,91.7,1.99,9,6,0.516,77.1,0.167,5,maintain
0.895,89.0,71.2,1.63,2,4,0.891,88.0,0.061,8,upgrade
0.916,80.6,71.0,2.27,3,4,0.876,89.7,0.145,5,upgrade
0.756,74.0,74.0,2.19,3,6,0.856,91.4,-0.227,4,maintain
0.681,50.3,92.2,3.34,4,7,0.533,59.5,0.074,10,maintain
0.887,89.8,85.6,2.22,3,7,0.844,89.9,0.126,8,upgrade
0.5,76.1,87.6,1.81,13,3,0.668,79.9,0.125,4,maintain
0.666,64.4,110.0,2.39,10,3,0.757,45.1,-0.031,10,maintain
0.429,11.7,150.4,3.83,3,3,0.573,14.3,-0.241,6,downgrade
0.476,55.4,113.8,3.03,13,5,0.568,56.3,-0.12,8,downgrade
0.733,77.5,80.4,2.01,4,1,0.881,87.5,0.002,2,maintain
0.212,26.8,174.9,3.66,17,5,0.436,39.8,-0.031,8,downgrade
0.94,77.3,64.6,1.96,0,2,0.986,76.3,0.152,7,upgrade
0.588,58.0,116.0,2.88,4,3,0.45,54.9,0.236,7,maintain
0.184,21.7,120.5,3.63,20,6,0.371,13.9,-0.16,4,downgrade
0.288,39.1,162.9,2.79,18,8,0.368,15.4,-0.058,6,downgrade
0.758,67.5,73.3,2.32,4,5,0.711,71.9,-0.16,4,maintain
0.547,65.6,91.0,2.12,7,4,0.587,59.2,0.056,2,maintain
0.337,36.5,132.6,3.76,14,8,0.256,19.2,0.031,7,downgrade
0.736,74.7,62.1,1.89,6,3,0.466,67.6,0.1,1,maintain
1.0,71.2,80.6,2.28,0,4,0.916,84.4,0.289,7,upgrade
0.567,85.9,93.6,2.11,11,5,0.84,60.3,-0.069,3,maintain
0.839,83.7,67.5,2.2,0,7,0.941,79.1,0.001,5,upgrade
0.879,82.9,83.1,1.95,4,3,0.862,84.0,0.1,9,upgrade
0.862,88.4,90.4,1.8,4,5,0.895,85.3,0.111,4,upgrade
0.41,15.9,117.2,3.96,11,3,0.57,22.9,0.01,4,downgrade
0.907,67.8,90.3,2.33,2,6,0.956,84.4,-0.044,7,upgrade
0.43,40.4,83.1,3.14,12,4,0.475,51.1,-0.08,3,downgrade
0.365,42.3,101.7,3.03,9,2,0.396,62.3,-0.219,6,downgrade
0.419,38.9,129.6,3.13,6,8,0.45,52.5,-0.003,2,downgrade
0.919,90.5,43.5,1.45,0,4,0.927,89.6,0.154,7,upgrade
0.958,67.0,89.2,2.18,0,4,0.897,95.5,0.222,7,upgrade
0.218,29.4,130.2,4.22,10,8,0.311,28.4,-0.013,6,downgrade
0.994,95.0,43.7,1.32,1,4,0.849,89.0,0.058,5,upgrade
0.596,42.6,119.3,3.61,5,7,0.849,36.9,-0.147,6,downgrade
0.459,39.1,144.8,3.46,7,6,0.707,56.3,-0.157,4,downgrade
0.887,85.5,77.3,2.2,3,5,0.912,95.8,0.225,7,upgrade
0.89,55.0,66.9,2.65,3,3,0.52,57.4,-0.213,9,maintain
0.274,29.1,154.0,3.12,14,4,0.322,32.5,-0.181,3,downgrade
0.5,70.2,104.4,2.84,15,8,0.673,66.2,-0.009,7,maintain
0.837,79.7,47.9,1.9,2,2,0.823,90.7,-0.09,9,upgrade
0.463,24.5,145.6,3.44,10,4,0.49,31.6,-0.013,7,downgrade
0.756,54.3,89.9,2.77,2,7,0.813,77.7,-0.012,9,maintain
0.945,90.0,57.8,2.33,0,6,0.861,76.8,0.093,3,upgrade
0.41,25.1,89.5,3.78,4,5,0.398,22.6,-0.199,5,downgrade
0.971,83.6,60.1,1.8,0,5,0.961,90.5,0.097,8,upgrade
0.805,84.1,89.1,2.21,7,4,0.923,73.1,-0.005,7,upgrade
0.811,45,106.9,3.11,0,5,0.727,73.7,0.176,10,maintain
0.535,11.1,161.9,3.73,12,5,0.424,11.7,0.104,4,downgrade
0.64,46.2,123.6,2.72,6,4,0.45,65.0,0.251,1,maintain
0.965,94.8,85.6,1.72,2,7,0.933,92.4,0.098,10,upgrade
0.367,29.6,101.2,2.92,5,3,0.383,47.8,-0.183,1,downgrade
0.631,63.0,88.5,2.46,5,4,0.596,75.3,-0.147,5,maintain
0.259,45.6,126.1,2.97,10,8,0.454,42.2,-0.146,1,downgrade
0.33,25.9,171.6,3.87,9,6,0.201,22.8,-0.205,1,downgrade
0.321,14.3,103.0,3.76,8,6,0.335,20.7,-0.317,2,downgrade
0.906,90.3,50.5,1.72,3,4,0.845,84.6,0.23,10,upgrade
0.784,89.7,61.7,1.83,3,7,0.819,81.2,0.008,6,upgrade
0.55,54.3,73.7,2.85,8,3,0.84,67.7,0.08,8,maintain
0.781,75.7,82.9,2.04,2,6,0.948,91.1,0.151,1,maintain
0.418,11.3,121.9,3.97,13,5,0.59,14.8,-0.366,7,downgrade
0.443,46.1,129.8,3.25,14,6,0.597,78,-0.215,3,downgrade
0.423,34.9,113.3,3.48,11,4,0.51,43.8,-0.011,3,downgrade
0.401,40.4,102.9,2.91,4,3,0.419,48.7,-0.086,6,downgrade
0.886,74.8,75.9,2.23,4,3,0.905,90.8,0.198,9,upgrade
0.5,66.4,95.5,2.69,11,4,0.708,79.9,-0.084,3,maintain
0.229,14.2,176.4,3.73,12,8,0.225,9.0,-0.241,5,downgrade
0.2,61.5,157.7,2.81,17,4,0.242,67.4,-0.187,7,downgrade
0.383,22.5,146.9,3.66,10,3,0.561,50.1,0.033,3,downgrade
0.639,76.2,122.3,2.35,7,7,0.84,66.2,-0.307,5,maintain
0.177,50.2,112.5,2.76,14,6,0.368,57.1,-0.083,4,downgrade
0.653,66.2,80.8,2.33,5,2,0.725,52.7,-0.151,3,maintain
0.516,41.9,101.4,3.31,9,8,0.53,40.1,-0.303,7,downgrade
0.528,63.1,92.5,2.29,6,1,0.84,45,-0.101,9,maintain
0.197,37.0,146.8,3.38,19,7,0.124,55.1,-0.206,4,downgrade
0.356,20.8,122.0,3.15,13,3,0.331,15.0,-0.202,2,downgrade
0.336,70,145.6,2.76,16,3,0.355,78,0.159,7,downgrade
0.696,59.7,106.1,2.72,8,5,0.675,74.7,-0.06,3,maintain
0.704,53.8,139.0,3.03,10,8,0.637,54.5,0.013,6,maintain
1.0,72.2,45.8,1.88,1,1,0.905,91.1,0.061,4,upgrade
0.912,80.1,71.1,2.17,0,4,0.845,95.9,0.138,4,upgrade
0.292,32.7,103.4,3.09,11,4,0.406,30.8,-0.253,8,downgrade
0.278,24.9,123.1,3.99,11,5,0.447,35.6,-0.063,3,downgrade
0.861,78.0,54.9,2.25,2,2,0.853,81.2,0.018,4,upgrade
0.975,76.0,53.0,1.78,0,1,0.916,93.7,0.199,10,upgrade
0.424,43.4,139.8,3.39,13,4,0.429,36.3,-0.436,2,downgrade
0.516,61.7,119.4,2.75,12,4,0.617,71.4,0.086,1,maintain
0.888,84.1,41.9,1.8,4,2,0.916,96.7,0.119,3,upgrade
0.425,43.1,85.2,2.51,9,1,0.683,79.9,-0.231,7,maintain
0.279,41.6,166.7,3.11,13,7,0.156,58.2,-0.095,3,downgrade
0.901,79.8,78.5,2.04,3,3,0.987,84.5,0.056,8,upgrade
0.172,54.0,131.3,2.84,12,6,0.156,57.8,-0.159,3,downgrade
0.989,84.4,65.8,1.77,0,4,0.952,80.9,0.207,4,upgrade
0.888,83.2,71.7,2.45,0,6,0.888,92.8,-0.09,5,upgrade
0.85,87.6,68.8,1.85,2,2,0.922,90.0,0.057,4,upgrade
0.707,45,79.2,3.26,3,2,0.702,78.4,-0.175,6,maintain
0.855,74.1,99.2,2.35,1,7,0.886,87.9,-0.08,9,upgrade
0.882,92.6,88.7,2.18,2,6,0.936,84.6,0.088,10,upgrade
1.0,81.1,52.0,2.41,1,1,0.858,85.8,0.097,3,upgrade
0.899,90.9,66.7,1.68,3,4,0.91,76.9,0.173,4,upgrade
1.0,82.2,59.5,2.37,0,7,0.884,88.1,0.034,4,upgrade
0.919,71.0,82.9,2.75,0,7,0.815,90.5,0.13,8,upgrade
0.772,78.4,61.4,1.69,2,3,0.916,92.4,0.12,8,upgrade
0.35,45.6,153.0,3.01,14,8,0.346,78,-0.076,6,downgrade
0.711,60.7,79.1,2.44,0,7,0.673,79.9,0.328,10,maintain
0.504,63.8,115.4,2.69,8,5,0.696,57.3,0.204,3,maintain
0.26,22.2,109.6,3.67,11,2,0.337,24.4,0.006,8,downgrade
0.411,32.3,140.3,3.22,12,1,0.905,89.4,-0.274,6,maintain
0.916,86.6,46.5,1.74,2,4,0.895,87.9,0.057,8,upgrade
0.374,29.8,138.8,3.4,9,7,0.33,37.8,-0.288,1,downgrade
0.848,94.0,67.2,2.19,1,7,0.961,83.2,0.118,7,upgrade
0.881,72.7,74.3,2.09,6,3,0.738,67.0,0.045,2,maintain
0.692,69.8,77.2,2.09,4,2,0.754,45,0.04,6,maintain
0.37,37.7,178.4,3.69,7,8,0.529,69.9,-0.144,8,downgrade
0.5,79.2,99.2,2.54,11,8,0.694,72.2,-0.041,10,maintain
0.522,11.8,133.4,3.88,7,5,0.619,5,0.111,7,downgrade
0.86,96.0,86.1,1.76,5,5,0.877,68.9,0.079,7,upgrade
0.5,60.9,109.5,3.05,9,8,0.669,50.0,0.184,5,maintain
0.941,85.7,75.0,1.89,1,6,0.901,85.4,0.112,3,upgrade
0.872,93.2,44.1,2.0,0,3,0.872,95.4,-0.09,6,upgrade
0.891,73.9,85.1,2.19,2,2,0.876,91.8,0.157,2,maintain
0.87,85.0,71.7,2.79,3,7,0.871,90.4,0.124,8,upgrade
0.846,62.6,90.3,2.43,0,4,0.84,72.8,0.054,7,maintain
0.168,41.7,128.0,3.55,9,6,0.104,55.1,-0.231,6,downgrade
0.288,43.2,122.0,3.14,9,6,0.319,43.3,0.056,2,downgrade
0.897,83.2,50.5,1.65,2,1,0.88,77.5,0.154,8,upgrade
0.76,69.0,112.1,2.69,1,6,0.878,90.4,-0.404,9,maintain
0.612,63.1,86.1,3.04,2,5,0.834,64.6,-0.069,4,maintain
0.203,31.9,133.9,3.3,14,6,0.089,42.2,-0.202,4,downgrade
0.691,49.5,127.4,3.15,5,3,0.823,73.8,0.07,9,maintain
0.391,60.5,108.2,2.84,8,5,0.268,78,-0.044,5,downgrade
0.384,41.8,128.5,2.75,13,2,0.355,34.3,0.093,4,downgrade
0.82,79.8,114.7,2.59,4,8,0.917,84.9,0.203,2,maintain
0.5,76.8,119.8,2.47,12,5,0.84,74.5,0.16,8,maintain
0.411,28.8,148.6,3.74,13,6,0.452,18.4,-0.127,6,downgrade
0.92,56.3,63.9,2.05,0,2,0.652,79.9,-0.259,1,maintain
0.19,39.7,113.4,3.25,16,6,0.227,47.2,0.087,2,downgrade
0.903,47.4,117.0,3.42,1,6,0.84,64.9,0.058,1,maintain
0.271,21.9,151.5,3.95,12,7,0.375,45.4,-0.243,7,downgrade
0.941,70.9,79.0,2.27,3,4,0.882,92.7,0.192,7,upgrade
0.617,34.6,138.4,3.78,5,6,0.679,44.9,-0.03,8,downgrade
0.894,79.2,70.8,2.33,0,7,0.977,81.3,0.052,7,upgrade
0.388,44.2,117.9,3.7,10,6,0.387,49.0,-0.088,4,downgrade
0.689,69.9,73.6,2.21,5,3,0.816,55.1,-0.25,1,maintain
0.997,86.5,41.0,1.91,0,4,0.929,86.1,0.174,3,upgrade
0.363,45.5,137.1,2.99,8,5,0.341,52.8,0.067,8,downgrade
0.231,33.8,172.4,3.56,11,8,0.05,55.2,-0.103,7,downgrade
0.675,60.7,73.4,2.95,4,4,0.699,63.5,-0.19,9,maintain
0.241,41.0,89.4,3.19,9,4,0.259,36.8,0.16,6,downgrade
0.543,38.6,143.1,3.68,5,8,0.432,46.1,-0.136,1,downgrade
0.913,81.9,92.6,2.25,2,5,0.911,91.7,0.056,9,upgrade
1.0,85.9,79.0,2.06,1,6,0.932,95.2,0.119,10,upgrade
0.807,80.7,75.5,2.03,3,6,0.91,84.4,0.161,5,upgrade
0.27,15.5,174.5,4.37,9,8,0.404,23.5,-0.206,8,downgrade
0.541,80.1,85.2,1.92,9,3,0.622,77.2,-0.03,5,maintain
0.847,78.0,57.3,2.13,0,4,0.897,84.2,0.128,10,upgrade
0.92,51.1,110.3,2.95,2,3,0.626,49.1,0.079,7,maintain
0.392,26.2,108.4,3.42,6,6,0.293,24.1,-0.253,7,downgrade
0.825,87.9,78.4,1.79,2,6,0.796,80.1,0.04,7,upgrade
0.909,85.4,55.0,1.47,4,2,0.91,74.0,0.086,7,upgrade
0.302,63.7,69.5,2.39,9,2,0.499,56.0,-0.238,7,downgrade
0.903,89.8,76.5,1.93,0,4,0.98,83.4,0.114,3,upgrade
0.957,85.2,68.2,2.49,0,5,0.856,85.6,-0.033,4,upgrade
0.927,92.2,63.5,2.13,3,7,0.947,90.4,-0.049,4,upgrade
0.903,88.7,46.8,1.9,0,3,0.918,80.9,0.15,6,upgrade
0.866,85.7,55.0,2.37,2,3,0.968,92.2,-0.006,1,maintain
0.905,86.7,51.3,1.96,0,2,0.898,90.1,0.181,9,upgrade
0.836,86.9,81.1,2.28,5,4,0.906,93.6,0.074,7,upgrade
0.913,62.5,73.0,2.64,1,1,0.924,94.1,0.025,9,upgrade
0.445,41.7,116.7,3.12,4,8,0.627,49.0,-0.045,3,downgrade
0.459,28.2,123.8,3.92,10,7,0.529,29.6,-0.147,8,downgrade
0.465,33.5,143.3,3.18,8,3,0.627,31.6,-0.077,2,downgrade
0.667,66.5,96.8,3.09,11,5,0.567,79.9,-0.184,5,maintain
0.917,88.8,46.6,1.58,2,1,0.898,86.0,0.246,10,upgrade
0.903,88.1,54.4,1.59,3,1,0.844,86.8,-0.09,8,upgrade
0.921,75.6,40.0,1.7,2,1,0.909,89.0,0.017,6,upgrade
0.962,78.7,52.8,1.71,2,1,0.868,93.5,0.092,7,upgrade
0.413,44.6,132.6,3.16,10,8,0.483,40.1,0.25,2,downgrade
0.284,62.6,138.6,2.63,15,2,0.318,73.9,-0.023,3,downgrade
0.86,82.6,65.8,2.25,0,7,0.956,86.4,-0.04,10,upgrade
0.945,92.0,77.2,1.97,4,8,0.995,97.1,0.324,10,maintain
0.819,63.2,110.1,2.39,5,6,0.84,70.1,-0.192,6,maintain
0.519,70.3,157.8,2.56,14,8,0.751,79.9,-0.039,8,maintain
0.612,37.2,102.4,2.96,8,6,0.68,63.6,0.123,8,downgrade
0.411,13.3,154.9,4.1,5,6,0.563,22.3,-0.106,6,downgrade
0.5,56.4,121.1,2.92,10,3,0.589,52.2,-0.339,6,maintain
0.824,87.7,47.6,1.47,1,1,0.874,89.2,0.126,8,upgrade
0.536,21.4,146.0,3.81,9,4,0.347,19.9,-0.149,3,downgrade
0.926,81.2,81.5,2.29,0,4,0.955,88.1,0.173,9,upgrade
0.952,90.0,52.8,1.45,1,2,0.843,91.9,-0.004,6,upgrade
0.134,45.4,145.2,3.71,13,8,0.076,41.5,-0.225,3,downgrade
0.904,92.0,51.3,1.71,3,3,0.953,84.3,0.05,5,upgrade
0.378,32.5,163.2,4.13,15,8,0.2,28.2,0.01,1,downgrade
0.729,87.7,85.5,1.97,7,3,0.68,45,0.015,1,maintain
0.618,75.1,85.0,2.38,11,6,0.607,56.2,0.028,5,maintain
0.842,57.0,87.3,2.6,1,5,0.555,70.9,-0.188,6,maintain
0.891,70.9,70.0,2.31,0,4,0.648,45.9,-0.038,6,maintain
0.877,70.1,75.0,2.11,5,1,0.916,82.1,0.106,10,upgrade
0.842,87.2,102.2,2.09,8,6,0.916,82.0,0.25,3,upgrade
0.343,37.6,158.2,3.1,13,2,0.255,37.0,0.08,7,downgrade
0.489,12.5,155.0,4.15,8,6,0.756,22.6,-0.057,6,downgrade
0.876,90.7,66.2,1.89,0,4,0.855,86.2,0.178,8,upgrade
0.665,74.2,78.9,2.33,4,7,0.826,76.4,0.078,1,maintain
0.579,66.8,118.9,2.46,6,7,0.598,48.0,-0.073,7,maintain
0.415,47.9,95.7,3.51,5,5,0.38,45.4,-0.326,2,downgrade
0.916,82.6,66.2,2.3,0,7,0.919,91.5,-0.002,7,upgrade
0.902,79.6,87.6,2.37,0,6,0.87,86.0,0.047,9,upgrade
0.324,38.8,152.7,3.06,7,7,0.53,47.7,-0.158,3,downgrade
0.654,61.2,116.5,2.92,6,7,0.84,79.9,0.205,2,maintain
0.932,85.1,78.6,2.33,1,8,0.918,94.1,0.031,7,maintain
0.377,24.5,149.3,3.83,11,2,0.544,34.2,-0.47,1,downgrade
0.74,84.6,78.2,2.1,3,3,0.852,91.2,0.156,2,maintain
0.823,87.7,71.0,2.05,5,6,0.971,77.8,-0.09,10,upgrade
0.567,75.9,81.9,2.03,12,8,0.499,49.7,-0.328,8,maintain
0.856,82.0,62.0,2.01,5,4,0.942,94.8,0.135,6,upgrade
0.707,60.8,113.8,2.93,4,4,0.805,62.9,0.054,1,maintain
1.0,85.3,71.8,2.14,0,1,0.955,79.3,-0.015,4,upgrade
0.503,45,89.1,2.61,6,1,0.84,64.8,0.016,9,maintain
0.228,34.2,147.0,3.78,14,8,0.124,40.4,0.181,5,downgrade
0.933,79.4,41.3,1.69,0,2,0.863,83.0,0.21,8,upgrade
0.865,87.3,75.2,1.77,3,4,0.967,87.7,0.019,9,upgrade
0.83,67.3,54.7,1.84,3,2,0.549,76.2,-0.295,1,maintain
0.874,90.9,56.9,1.51,3,2,0.911,72.8,0.123,9,upgrade
0.785,54.4,96.7,3.32,0,7,0.65,69.8,0.018,9,maintain
0.89,55.3,59.6,2.68,0,2,0.563,49.0,-0.176,9,maintain
0.397,39.2,127.8,3.59,6,8,0.684,54.5,-0.157,4,downgrade
0.919,77.6,97.1,2.65,0,6,0.948,76.4,0.331,6,upgrade
0.248,37.2,127.3,3.21,12,3,0.29,51.0,-0.077,5,downgrade
0.207,52.5,117.4,3.22,7,2,0.413,49.6,-0.007,7,downgrade
0.737,75.8,70.1,2.24,3,4,0.891,84.8,0.08,2,maintain
0.05,53.0,143.8,2.58,11,5,0.05,70.4,-0.004,8,downgrade
0.261,12.3,148.3,3.47,11,4,0.291,16.1,-0.048,6,downgrade
0.744,71.8,63.4,2.3,3,5,0.798,79.9,0.038,6,maintain
0.447,62.7,148.1,3.05,12,5,0.41,50.9,-0.229,5,downgrade
0.943,73.4,98.8,2.46,0,5,0.979,79.9,0.242,5,upgrade
0.343,34.4,97.9,3.6,12,3,0.339,30.0,-0.162,3,downgrade
0.618,78.1,76.5,2.27,2,6,0.724,67.2,-0.176,1,maintain
0.903,93.1,69.2,1.7,3,7,0.908,95.3,-0.033,9,upgrade
0.687,47.7,106.7,2.92,4,6,0.66,70.0,-0.02,7,maintain
0.856,91.9,61.7,1.52,2,2,0.834,87.3,0.098,3,upgrade
0.329,46.9,146.1,3.1,14,6,0.211,58.7,0.122,3,downgrade
0.405,46.6,114.0,3.08,11,6,0.317,55.3,-0.087,3,downgrade
0.838,56.7,107.8,2.72,6,7,0.84,71.5,-0.016,7,maintain
0.84,100,49.6,1.28,2,1,0.897,85.6,0.003,5,upgrade
0.239,51.6,119.0,3.32,18,6,0.308,41.8,-0.166,4,downgrade
0.702,84.6,83.2,2.18,7,2,0.65,58.2,-0.064,7,maintain
0.504,40.3,135.7,2.99,14,3,0.623,39.2,0.052,3,downgrade
0.82,60.9,108.9,2.5,5,2,0.802,69.7,-0.06,8,maintain
0.403,44.0,133.3,3.12,10,6,0.55,63.1,-0.069,5,downgrade
0.698,57.7,93.7,3.37,7,8,0.731,56.8,0.06,6,maintain
0.308,14.3,157.8,3.52,11,3,0.302,19.0,-0.219,2,downgrade
0.406,50.5,107.6,3.09,9,8,0.564,48.3,-0.11,5,downgrade
0.5,54.4,90.8,2.86,10,5,0.589,63.9,0.255,1,maintain
0.395,49.5,144.2,3.35,11,8,0.695,60.6,0.141,7,downgrade
0.798,93.0,64.1,1.95,4,4,0.869,91.6,0.036,9,upgrade
0.139,48.1,122.7,3.16,9,5,0.214,45.4,-0.349,8,downgrade
0.914,89.7,56.8,1.49,2,3,0.95,86.9,0.066,6,upgrade
0.784,82.8,94.7,2.59,5,7,0.897,88.2,0.286,3,upgrade
0.166,24.1,100.5,3.23,14,2,0.253,35.8,-0.013,5,downgrade
0.391,41.8,165.7,3.22,13,8,0.542,46.0,-0.115,4,downgrade
0.593,70.9,108.8,2.5,3,7,0.747,64.1,0.078,7,maintain
0.891,60.6,56.3,2.68,2,2,0.49,59.4,-0.107,7,maintain
0.283,25.5,125.3,3.89,11,4,0.492,20.8,-0.28,1,downgrade
0.683,68.5,72.2,2.25,9,3,0.752,73.1,0.043,5,maintain
0.808,70.4,63.3,1.86,5,2,0.956,87.1,-0.257,5,maintain
0.46,26.9,152.5,3.92,7,5,0.718,57.8,-0.101,3,downgrade
0.866,47.4,97.3,3.43,4,5,0.598,46.5,-0.114,8,maintain
0.715,52.7,65.5,2.23,6,1,0.72,55.7,0.026,3,maintain
0.985,78.1,58.5,1.72,0,1,0.922,76.4,-0.053,9,upgrade
0.787,79.2,70.5,2.44,3,7,0.951,94.1,-0.09,9,upgrade
0.919,86.1,57.9,1.87,1,5,0.829,84.5,0.057,3,upgrade
0.251,45.9,148.1,2.97,12,5,0.323,57.1,-0.261,8,downgrade
0.621,57.3,130.6,2.74,9,2,0.586,66.6,0.149,4,maintain
0.588,72.1,111.6,2.59,5,8,0.779,58.2,-0.103,8,maintain
0.857,85.1,49.0,1.83,3,1,0.891,92.1,0.085,7,upgrade
0.15,48.2,92.9,2.9,11,8,0.05,34.6,0.005,7,downgrade
0.652,78.9,68.7,2.5,5,8,0.698,67.1,0.134,7,maintain
0.5,64.3,92.9,2.53,8,2,0.679,62.4,-0.05,6,maintain
0.866,74.9,58.9,2.16,1,4,0.84,65.8,-0.089,3,maintain
0.954,94.7,62.2,1.63,2,5,0.915,75.9,0.235,9,upgrade
0.94,81.8,79.4,2.13,0,4,0.909,93.6,0.115,7,upgrade
0.67,66.0,102.0,2.04,6,6,0.684,56.0,0.282,9,maintain
0.887,73.8,85.4,2.38,4,5,0.923,88.5,-0.337,10,maintain
0.668,81.8,86.9,2.3,7,5,0.706,59.7,0.054,1,maintain
0.5,77.1,106.3,2.38,11,7,0.84,69.3,-0.055,4,maintain
0.5,59.3,92.0,2.72,6,2,0.727,79.9,-0.074,9,maintain
0.579,62.9,130.9,2.83,8,8,0.643,55.8,-0.043,7,maintain
0.306,36.0,131.9,3.85,11,6,0.108,54.6,-0.118,1,downgrade
0.909,86.8,34.6,1.54,2,1,0.936,86.3,0.082,3,upgrade
0.77,65.2,77.4,2.81,3,4,0.576,70.3,-0.031,3,maintain
0.843,63.6,83.1,2.81,1,4,0.908,85.8,0.141,1,maintain
0.878,81.9,97.4,2.34,2,7,0.882,80.6,0.28,9,upgrade
0.323,40.1,96.3,3.16,12,6,0.373,49.5,-0.267,6,downgrade
0.54,45,103.1,2.85,4,3,0.675,77.2,0.047,6,maintain
0.321,45.6,156.3,3.25,12,5,0.091,61.0,-0.049,2,downgrade
1.0,81.5,48.8,1.89,4,3,0.9,84.9,0.261,3,upgrade
0.311,35.5,140.7,3.32,16,3,0.267,57.6,-0.108,4,downgrade
0.926,95.7,69.0,1.6,4,6,0.931,84.6,0.075,5,upgrade
0.719,55.9,102.4,2.47,6,3,0.77,79.9,-0.067,3,maintain
0.391,36.9,77.1,3.14,6,3,0.359,53.2,0.07,6,downgrade
0.5,76.1,102.2,2.23,8,8,0.634,62.6,0.154,9,maintain
0.871,80.8,75.2,1.99,1,1,1.0,91.2,0.138,5,upgrade
0.862,81.0,68.1,2.11,0,1,0.834,93.9,-0.09,7,upgrade
